%time       con-rate  rep-rate  rep-time(ms)  Net I/O  timo-err  oth-err
1007425755     350.0     349.9        20.0     56.4         0        0
1007426056     350.0     349.9        20.6     56.4         0        0
1007426357     350.0     349.9        19.0     56.4         0        0
1007426658     350.0     349.9        19.2     56.4         0        0
1007426959     350.0     349.9        19.6     56.4         0        0
1007427261     350.0     349.9        18.9     56.4         0        0
1007427562     350.0     349.9        18.8     56.4         0        0
1007427863     350.0     349.9        19.7     56.4         0        0
1007428164     350.0     349.9        20.6     56.4         0        0
1007428465     350.0     349.9        19.6     56.4         0        0
1007428766     350.0     349.9        20.7     56.4         0        0
1007429067     350.0     349.9        20.9     56.4         0        0
1007429368     350.0     349.9        21.3     56.3         0        0
1007429669     350.0     349.9        20.2     56.4         0        0
1007429971     350.0     349.9        19.6     56.4         0        0
1007430272     350.0     349.9        21.9     56.4         0        0
1007430573     350.0     349.9        19.4     56.4         0        0
1007430874     350.0     349.9        18.9     56.4         0        0
1007431175     350.0     349.9        19.9     56.4         0        0
1007431476     350.0     349.9        20.3     56.4         0        0
1007431777     350.0     349.9        19.7     56.4         0        0
1007432078     350.0     349.9        19.9     56.4         0        0
1007432379     350.0     349.9        19.2     56.4         0        0
1007432681     350.0     349.9        20.3     56.4         0        0
1007432982     350.0     349.9        20.4     56.4         0        0
1007433283     350.0     349.9        20.9     56.4         0        0
1007433584     350.0     349.9        20.6     56.4         0        0
1007433885     350.0     349.9        21.5     56.4         0        0
1007434186     350.0     349.9        19.9     56.4         0        0
1007434487     350.0     349.9        21.3     56.4         0        0
1007434788     350.0     349.9        20.1     56.4         0        0
1007435089     350.0     349.9        22.1     56.3         0        0
1007435391     350.0     349.9        20.3     56.4         0        0
1007435692     350.0     349.9        20.2     56.4         0        0
1007435993     350.0     349.9        18.9     56.4         0        0
1007436294     350.0     349.9        21.1     56.4         0        0
1007436595     350.0     349.9        20.0     56.4         0        0
1007436896     350.0     349.9        21.6     56.4         0        0
1007437197     350.0     349.9        19.7     56.4         0        0
1007437498     350.0     349.9        20.3     56.4         0        0
1007437799     350.0     349.9        20.3     56.4         0        0
1007438100     350.0     349.9        21.5     56.4         0        0
1007438402     350.0     349.9        19.8     56.4         0        0
1007438703     350.0     349.9        20.1     56.4         0        0
1007439004     350.0     349.9        21.0     56.4         0        0
1007439305     350.0     349.9        22.1     56.4         0        0
1007439606     350.0     349.9        21.0     56.4         0        0
1007439907     350.0     349.9        20.3     56.4         0        0
1007440208     350.0     349.9        18.8     56.4         0        0
1007440509     350.0     349.9        20.3     56.4         0        0
1007440810     350.0     349.9        20.3     56.4         0        0
1007441112     350.0     349.9        19.4     56.4         0        0
1007441413     350.0     349.9        20.3     56.4         0        0
1007441714     350.0     349.9        19.4     56.4         0        0
1007442015     350.0     349.9        18.5     56.4         0        0
1007442316     350.0     349.9        19.8     56.4         0        0
1007442617     350.0     349.9        18.8     56.4         0        0
1007442918     350.0     349.9        19.7     56.4         0        0
1007443219     350.0     349.9        20.3     56.4         0        0
1007443520     350.0     349.9        20.5     56.4         0        0
1007443821     350.0     349.9        19.3     56.4         0        0
1007444123     350.0     349.9        18.6     56.4         0        0
1007444424     350.0     349.9        19.3     56.4         0        0
1007444725     350.0     349.9        19.1     56.4         0        0
1007445026     350.0     349.9        19.6     56.4         0        0
1007445327     350.0     349.9        20.0     56.4         0        0
1007445628     350.0     349.9        20.5     56.4         0        0
1007445929     350.0     349.9        20.6     56.4         0        0
1007446230     350.0     349.9        20.4     56.4         0        0
1007446531     350.0     349.9        20.2     56.4         0        0
1007446833     350.0     349.9        18.9     56.4         0        0
1007447134     350.0     349.9        19.5     56.2         1        0
1007447435     350.0     349.9        20.4     56.4         0        0
1007447736     350.0     349.9        20.8     56.4         0        0
1007448037     350.0     349.9        20.5     56.4         0        0
1007448338     350.0     349.9        19.7     56.4         0        0
1007448639     350.0     349.9        20.6     56.4         0        0
1007448940     350.0     349.9        21.7     56.4         0        0
1007449241     350.0     349.9        20.9     56.4         0        0
1007449542     350.0     349.9        20.4     56.4         0        0
1007449844     350.0     349.9        18.9     56.4         0        0
1007450145     350.0     349.9        19.9     56.4         0        0
1007450446     350.0     349.9        19.9     56.4         0        0
1007450747     350.0     349.9        20.5     56.4         0        0
1007451048     350.0     349.9        20.8     56.4         0        0
1007451349     350.0     349.9        20.4     56.4         0        0
1007451650     350.0     349.9        20.3     56.4         0        0
1007451951     350.0     349.9        19.9     56.4         0        0
1007452252     350.0     349.9        20.5     56.4         0        0
1007452554     350.0     349.9        21.2     56.4         0        0
1007452855     350.0     349.9        19.3     56.4         0        0
1007453156     350.0     349.9        20.0     56.4         0        0
1007453457     350.0     349.9        18.7     56.4         0        0
1007453758     350.0     349.9        18.6     56.4         0        0
1007454059     350.0     349.9        19.9     56.4         0        0
1007454360     350.0     349.9        17.9     56.4         0        0
1007454661     350.0     349.9        18.9     56.4         0        0
1007454962     350.0     349.9        20.4     56.4         0        0
1007455263     350.0     349.8        24.3     55.0         9        0
1007455565     350.0     349.8        27.1     50.4        43        0
1007455866     350.0     349.9        18.8     56.4         0        0
1007456167     350.0     349.9        19.6     56.4         0        0
1007456468     350.0     334.0        93.1     42.9      4755        0
1007456770     350.0     349.8        19.0     53.4        21        0
1007457071     350.0     349.9        19.1     56.4         0        0
1007457372     350.0     349.9        20.4     56.4         0        0
1007457673     350.0     349.9        19.9     56.4         0        0
1007457974     350.0     349.9        19.4     56.4         0        0
1007458275     350.0     349.9        20.3     56.4         0        0
1007458576     350.0     349.9        20.2     56.4         0        0
1007458878     350.0     349.9        19.9     56.4         0        0
1007459179     350.0     349.9        20.5     56.4         0        0
1007459480     350.0     349.9        20.4     56.4         0        0
1007459781     350.0     349.9        20.7     56.4         0        0
1007460082     350.0     349.9        19.7     56.4         0        0
1007460383     350.0     349.9        19.6     56.4         0        0
1007460684     350.0     349.9        20.5     56.4         0        0
1007460985     350.0     349.9        18.9     56.4         0        0
1007461286     350.0     349.9        19.5     56.4         0        0
1007461588     350.0     349.9        19.8     56.4         0        0
1007461889     350.0     349.9        21.0     56.4         0        0
1007462190     350.0     349.9        19.9     56.4         0        0
1007462491     350.0     349.9        20.1     56.4         0        0
1007462792     350.0     349.9        20.3     56.4         0        0
1007463093     350.0     349.9        19.1     56.4         0        0
1007463394     350.0     349.9        18.8     56.4         0        0
1007463695     350.0     349.9        18.9     56.4         0        0
1007463996     350.0     349.9        19.6     56.4         0        0
1007464297     350.0     349.9        20.4     56.4         0        0
1007464599     350.0     349.9        19.7     56.4         0        0
1007464900     350.0     349.9        19.7     56.4         0        0
1007465201     350.0     349.9        19.1     56.4         0        0
1007465502     350.0     349.9        20.0     56.4         0        0
1007465803     350.0     349.9        21.1     56.4         0        0
1007466104     350.0     349.9        20.3     56.4         0        0
1007466405     350.0     349.9        18.9     56.4         0        0
1007466706     350.0     349.9        17.7     56.4         0        0
1007467007     350.0     349.9        18.2     56.4         0        0
1007467308     350.0     349.9        18.7     56.3         0        0
1007467610     350.0     349.9        19.9     56.4         0        0
1007467911     350.0     349.9        20.1     56.4         0        0
1007468212     350.0     349.9        19.5     56.4         0        0
1007468513     350.0     349.9        19.0     56.4         0        0
1007468814     350.0     349.9        20.1     56.3         0        0
1007469115     350.0     349.9        18.8     56.4         0        0
1007469416     350.0     349.9        18.8     56.4         0        0
1007469717     350.0     349.9        20.3     56.4         0        0
1007470019     350.0     349.9        18.8     56.4         0        0
1007470320     350.0     349.9        19.1     56.4         0        0
1007470621     350.0     349.9        20.3     56.4         0        0
1007470922     350.0     349.9        19.3     56.4         0        0
1007471223     350.0     349.9        19.4     56.4         0        0
1007471524     350.0     349.9        18.5     56.4         0        0
1007471825     350.0     349.9        18.4     56.4         0        0
1007472126     350.0     349.9        18.8     56.4         0        0
1007472427     350.0     349.9        19.3     56.4         0        0
1007472728     350.0     349.9        18.9     56.4         0        0
1007473030     350.0     349.9        18.9     56.4         0        0
1007473331     350.0     349.9        21.0     56.4         0        0
1007473632     350.0     349.9        19.5     56.4         0        0
1007473933     350.0     349.9        20.0     56.4         0        0
1007474234     350.0     349.9        20.3     56.4         0        0
1007474535     350.0     349.9        20.3     56.4         0        0
1007474836     350.0     349.9        19.1     56.4         0        0
1007475137     350.0     349.9        20.5     56.4         0        0
1007475438     350.0     349.9        19.9     56.4         0        0
1007475739     350.0     349.9        19.9     56.4         0        0
1007476041     350.0     349.9        19.5     56.4         0        0
1007476342     350.0     349.9        18.2     56.4         0        0
1007476643     350.0     349.9        17.9     56.4         0        0
1007476944     350.0     349.9        18.2     56.4         0        0
1007477245     350.0     349.9        19.4     56.4         0        0
1007477546     350.0     349.9        19.1     56.4         0        0
1007477847     350.0     349.9        19.5     56.4         0        0
1007478148     350.0     349.9        19.0     56.4         0        0
1007478449     350.0     349.9        19.5     56.4         0        0
1007478750     350.0     349.9        19.5     56.4         0        0
1007479052     350.0     349.9        19.7     56.4         0        0
1007479353     350.0     349.9        19.4     56.4         0        0
1007479654     350.0     349.9        19.8     56.4         0        0
1007479955     350.0     349.9        19.6     56.4         0        0
1007480256     350.0     349.9        20.6     56.4         0        0
1007480557     350.0     349.9        20.3     56.4         0        0
1007480858     350.0     349.9        20.2     56.2         1        0
1007481159     350.0     349.9        18.6     56.4         0        0
1007481460     350.0     349.9        19.3     56.4         0        0
1007481762     350.0     349.9        19.7     56.4         0        0
1007482063     350.0     349.9        20.4     56.4         0        0
1007482364     350.0     349.9        19.4     56.4         0        0
1007482665     350.0     349.9        20.9     56.4         0        0
1007482966     350.0     349.9        19.3     56.4         0        0
1007483267     350.0     349.9        19.5     56.4         0        0
1007483568     350.0     349.9        20.5     56.4         0        0
1007483869     350.0     349.9        20.4     56.4         0        0
1007484170     350.0     349.9        19.9     56.4         0        0
