%time      con-rate  rep-rate  rep-time(ms)  Net I/O  timo-err  oth-err
997710581     400.0     293.6       321.1     41.2     31651        0
997710886     400.0     347.4       244.7     42.9     14772        0
997711190     400.0     398.7       160.0     45.3       293        0
997711492     400.0     381.5       250.8     39.9      5185        0
997711798     400.0     308.2       271.9     38.2     27078        0
997712104     400.0     398.6       149.6     44.8       332        0
997712406     400.0     396.9       226.2     40.2       820        0
997712708     400.0     365.4       215.0     38.3      9954        0
997713014     400.0     285.6       304.2     39.4     33812        0
997713320     400.0     363.0       226.1     42.6     10226        0
997713626     400.0     362.7       212.7     41.0     10675        0
997713931     400.0     369.4       234.5     41.7      8847        0
997714235     400.0     336.1       267.5     40.9     18802        0
997714538     400.0     398.5       148.9     44.9       323        0
997714840     400.0     397.8       184.2     42.4       509        0
997715142     400.0     296.2       274.4     40.3     30503        0
997715447     400.0     359.7       245.4     42.2     11564        0
997715753     400.0     398.2       180.3     43.8       407        0
997716055     400.0     356.7       243.2     40.3     11205        0
997716362     400.0     358.0       222.3     41.0     11677        0
997716668     400.0     351.5       227.0     41.7     13825        0
997716973     400.0     397.6       208.5     42.0       589        0
997717275     400.0     396.6       200.2     38.1       934        0
997717577     400.0     372.2       191.5     38.4      8088        0
997717882     400.0     305.8       266.6     38.5     28096        0
997718187     400.0     328.4       273.0     41.3     20771        0
997718491     400.0     375.8       212.5     43.1      6956        0
997718797     400.0     385.3       237.0     41.1      3962        0
997719102     400.0     331.2       261.9     38.1     18988        0
997719408     400.0     385.4       196.5     42.1      2439        0
997719715     400.0     313.6       270.6     39.8     24334        0
997720022     400.0     398.4       190.0     44.5       367        0
997720324     400.0     327.5       259.0     39.0     21271        0
997720630     400.0     363.8       228.7     41.3     10548        0
997720936     400.0     330.3       252.8     40.6     20445        0
997721240     400.0     398.4       177.4     44.9       334        0
997721543     400.0     376.6       209.8     41.1      6536        0
997721847     400.0     333.6       285.0     40.0     19430        0
997722152     400.0     338.7       255.8     41.6     17803        0
997722458     400.0     333.6       232.9     42.2     19592        0
997722761     400.0     313.7       279.0     41.8     25613        0
997723066     400.0     367.5       238.3     43.9      9556        0
997723371     400.0     364.3       218.3     42.7     10337        0
997723675     400.0     371.4       215.1     41.8      7926        0
997723981     400.0     398.1       178.7     43.0       470        0
997724283     400.0     355.1       255.4     40.3     12796        0
997724589     400.0     339.9       271.0     39.9     17699        0
997724893     400.0     398.1       189.9     43.6       472        0
997725195     400.0     397.8       191.5     42.0       538        0
997725497     400.0     311.8       279.4     38.7     25973        0
997725802     400.0     361.0       215.2     42.6     11293        0
997726106     400.0     398.1       172.6     43.2       451        0
997726408     400.0     296.4       278.5     39.1     29588        0
997726714     400.0     398.5       177.7     44.5       351        0
997727016     400.0     346.8       281.4     39.9     15108        0
997727321     400.0     321.5       271.1     39.8     21912        0
997727630     400.0     371.2       194.7     43.6      8307        0
997727934     400.0     366.2       240.6     41.0      9754        0
997728238     400.0     358.7       254.0     41.0     11761        0
997728543     400.0     338.5       232.7     40.9     17618        0
997728848     400.0     345.6       238.4     41.4     15597        0
997729153     400.0     293.4       325.4     41.5     31540        0
997729459     400.0     398.3       208.6     44.7       400        0
997729761     400.0     304.9       293.2     39.5     27760        0
997730065     400.0     398.6       170.7     44.9       318        0
